Date,Account Name,Low,Medium,High
March2021,DM&T-Dev,22,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
March2021,Jira & Confluence Account,42,6,2,0,42,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
March2021,Amdocs Dev,111,3,1,19,112,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0
March2021,RTSL Dev,19,1,2,1,19,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,0
March2021,"Cloud Conformity Report, Account Name: CEX-SS, Environment: Shared Services; Account Name: ENT-DEV, Environment: Development; Account Name: ENT-QA, Environment: Quality Assurance; Account Name: Amdocs STG, Environment: Staging; Account Name: RTSL Production, Environment: Prod; Account Name: EDA-MLHUB-QA, Environment: QA; Account Name: RTSL IT, Environment: null; Account Name: ENT-SANDBOX, Environment: Sandbox; Account Name: EDA-QA, Environment: Quality Assurance; Account Name: Security-Dev, Environment: Dev; Account Name: CEX-QA, Environment: Quality Assurance; Account Name: EDA-SS, Environment: Shared Services; Account Name: EDA-PROD, Environment: Production; Account Name: DM&T-POC, Environment: Proof-of-Concept; Account Name: ENT-PROD, Environment: Production; Account Name: DSC-PROD, Environment: Data Science; Account Name: ICSU-Sandbox, Environment: Sandbox; Account Name: ENT-STG, Environment: Staging; Account Name: INF-QA, Environment: Quality Assurance; Account Name: Amdocs Dev, Environment: Development; Account Name: CEX-STG, Environment: Staging; Account Name: EDA-MLHUB-PROD, Environment: PROD; Account Name: CBU-SS, Environment: Shared Services; Account Name: RTSL Staging, Environment: Staging; Account Name: EDA-MLHUB-DEV, Environment: DEV; Account Name: RTSL NetworkExperience, Environment: null; Account Name: Amdocs QA, Environment: Quality Assurance; Account Name: RTSL Master, Environment: null; Account Name: EDA Workstation, Environment: Staging; Account Name: DM&T-Dev, Environment: Development; Account Name: CEX-DEV, Environment: Development; Account Name: INF-DEV, Environment: Development; Account Name: CBU-DEV, Environment: Development; Account Name: Security Account - 136765375697, Environment: Prod Security Account; Account Name: CEX-PROD, Environment: Production; Account Name: RTSL Dev, Environment: Development; Account Name: DSC-WorkStation, Environment: Staging; Account Name: Amdocs SS, Environment: Shared Services; Account Name: EDA-Staging, Environment: Staging; Account Name: RTSL Catalyst, Environment: null; Account Name: DM&T-PROD, Environment: Production; Account Name: DM&T-QA, Environment: Quality Assurance; Account Name: Jira & Confluence Account, Environment: Prod; Account Name: EDA-DEV, Environment: Development, Date: Mon Mar 01 2021 05:00:45 GMT+0000 (Coordinated Universal Time), Checks: 2882, Failed: 2882, 100%, Succeeded: 0, 0%, Filters applied: Rules: EC2-001, EC2-002, EC2-003, EC2-004, EC2-005, EC2-006, EC2-007, EC2-008, EC2-012, EC2-013, EC2-016, EC2-032, EC2-033, EC2-034, EC2-038, EC2-039, EC2-040, EC2-041, EC2-042, EC2-043, EC2-044, EC2-045, EC2-059, EC2-061, EC2-063, EC2-064, EC2-065; Status: FAILURE; Suppressed Checks: Not-suppressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
March2021,"Compliance Score and percent success metrics are dependent on (1) active / selected filters, (2) data access you have provided on your account(s) or provided to you by your Organisation admin, and (3) controls which Cloud Conformity is able to check for on your cloud infrastructure - this would exclude for example workload across accounts, and organisational processes. Standard and framework control to rule mapping represents the expert opinion of Cloud Conformity and not necessarily that of the standard or framework authority. Rule severities and categories apply to Cloud Conformity's rules and not the controls they are mapped to. Your account(s) compliance with any Framework or Standard should be assessed in conjunction with your own internal review.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1

Date,Account Name,Low,Medium,High,Total
March2021,Production,116,166,0,282
March2021,Development,386,559,0,945
